NOM PROC : 0,49, %CPU : average:, %MEM : 0,67,
NOM PROC : 0, %CPU : veille,, %MEM : 0
NOM PROC : hi,, %CPU : 0,0, %MEM : wa,
NOM PROC : , %CPU : util,, %MEM : 674,5
NOM PROC : Mem, %CPU : util., %MEM : 510,2
NOM PROC : , %CPU : , %MEM : 
NOM PROC : COM., %CPU : %CPU, %MEM : %MEM
NOM PROC : systemd, %CPU : 0,0, %MEM : 0,4
NOM PROC : kthreadd, %CPU : 0,0, %MEM : 0,0
NOM PROC : rcu_gp, %CPU : 0,0, %MEM : 0,0
NOM PROC : rcu_par+, %CPU : 0,0, %MEM : 0,0
NOM PROC : slub_fl+, %CPU : 0,0, %MEM : 0,0
NOM PROC : netns, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : mm_perc+, %CPU : 0,0, %MEM : 0,0
NOM PROC : rcu_tas+, %CPU : 0,0, %MEM : 0,0
NOM PROC : rcu_tas+, %CPU : 0,0, %MEM : 0,0
NOM PROC : rcu_tas+, %CPU : 0,0, %MEM : 0,0
NOM PROC : ksoftir+, %CPU : 0,0, %MEM : 0,0
NOM PROC : rcu_pre+, %CPU : 0,0, %MEM : 0,0
NOM PROC : migrati+, %CPU : 0,0, %MEM : 0,0
NOM PROC : cpuhp/0, %CPU : 0,0, %MEM : 0,0
NOM PROC : kdevtmp+, %CPU : 0,0, %MEM : 0,0
NOM PROC : inet_fr+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kauditd, %CPU : 0,0, %MEM : 0,0
NOM PROC : khungta+, %CPU : 0,0, %MEM : 0,0
NOM PROC : oom_rea+, %CPU : 0,0, %MEM : 0,0
NOM PROC : writeba+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kcompac+, %CPU : 0,0, %MEM : 0,0
NOM PROC : ksmd, %CPU : 0,0, %MEM : 0,0
NOM PROC : khugepa+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kintegr+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kblockd, %CPU : 0,0, %MEM : 0,0
NOM PROC : blkcg_p+, %CPU : 0,0, %MEM : 0,0
NOM PROC : tpm_dev+, %CPU : 0,0, %MEM : 0,0
NOM PROC : edac-po+, %CPU : 0,0, %MEM : 0,0
NOM PROC : devfreq+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kswapd0, %CPU : 0,0, %MEM : 0,0
NOM PROC : kthrotld, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/24-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/25-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/26-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/27-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/28-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/29-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/30-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/31-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/32-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/33-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/34-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/35-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/36-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/37-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/38-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/39-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/40-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/41-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/42-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/43-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/44-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/45-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/46-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/47-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/48-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/49-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/50-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/51-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/52-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/53-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/54-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/55-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : acpi_th+, %CPU : 0,0, %MEM : 0,0
NOM PROC : mld, %CPU : 0,0, %MEM : 0,0
NOM PROC : ipv6_ad+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kstrp, %CPU : 0,0, %MEM : 0,0
NOM PROC : zswap-s+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : ata_sff, %CPU : 0,0, %MEM : 0,0
NOM PROC : mpt_pol+, %CPU : 0,0, %MEM : 0,0
NOM PROC : mpt/0, %CPU : 0,0, %MEM : 0,0
NOM PROC : scsi_eh+, %CPU : 0,0, %MEM : 0,0
NOM PROC : scsi_tm+, %CPU : 0,0, %MEM : 0,0
NOM PROC : scsi_eh+, %CPU : 0,0, %MEM : 0,0
NOM PROC : scsi_tm+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/16-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : scsi_eh+, %CPU : 0,0, %MEM : 0,0
NOM PROC : scsi_tm+, %CPU : 0,0, %MEM : 0,0
NOM PROC : jbd2/sd+, %CPU : 0,0, %MEM : 0,0
NOM PROC : ext4-rs+, %CPU : 0,0, %MEM : 0,0
NOM PROC : systemd+, %CPU : 0,0, %MEM : 1,0
NOM PROC : systemd+, %CPU : 0,0, %MEM : 0,2
NOM PROC : systemd+, %CPU : 0,0, %MEM : 0,2
NOM PROC : irq/56-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/57-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : irq/58-+, %CPU : 0,0, %MEM : 0,0
NOM PROC : cryptd, %CPU : 0,0, %MEM : 0,0
NOM PROC : account+, %CPU : 0,0, %MEM : 0,3
NOM PROC : avahi-d+, %CPU : 0,0, %MEM : 0,1
NOM PROC : cron, %CPU : 0,0, %MEM : 0,1
NOM PROC : dbus-da+, %CPU : 0,0, %MEM : 0,2
NOM PROC : low-mem+, %CPU : 0,0, %MEM : 0,2
NOM PROC : polkitd, %CPU : 0,0, %MEM : 0,4
NOM PROC : power-p+, %CPU : 0,0, %MEM : 0,3
NOM PROC : switche+, %CPU : 0,0, %MEM : 0,3
NOM PROC : systemd+, %CPU : 0,0, %MEM : 0,2
NOM PROC : udisksd, %CPU : 0,0, %MEM : 0,5
NOM PROC : avahi-d+, %CPU : 0,0, %MEM : 0,0
NOM PROC : psimon, %CPU : 0,0, %MEM : 0,0
NOM PROC : Network+, %CPU : 0,0, %MEM : 0,7
NOM PROC : wpa_sup+, %CPU : 0,0, %MEM : 0,2
NOM PROC : ModemMa+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gdm3, %CPU : 0,0, %MEM : 0,3
NOM PROC : mariadbd, %CPU : 0,0, %MEM : 1,3
NOM PROC : upowerd, %CPU : 0,0, %MEM : 0,3
NOM PROC : colord, %CPU : 0,0, %MEM : 0,5
NOM PROC : gdm-ses+, %CPU : 0,0, %MEM : 0,4
NOM PROC : systemd, %CPU : 0,0, %MEM : 0,4
NOM PROC : (sd-pam), %CPU : 0,0, %MEM : 0,1
NOM PROC : pipewire, %CPU : 0,0, %MEM : 0,5
NOM PROC : wireplu+, %CPU : 0,0, %MEM : 0,6
NOM PROC : pipewir+, %CPU : 0,0, %MEM : 0,7
NOM PROC : gnome-k+, %CPU : 0,0, %MEM : 0,4
NOM PROC : dbus-da+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gdm-way+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,5
NOM PROC : gvfsd, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfsd-f+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gcr-ssh+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,2
NOM PROC : ssh-age+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,6
NOM PROC : at-spi-+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 8,9
NOM PROC : dbus-da+, %CPU : 0,0, %MEM : 0,2
NOM PROC : xdg-per+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,4
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 1,0
NOM PROC : goa-dae+, %CPU : 0,0, %MEM : 0,5
NOM PROC : gvfs-ud+, %CPU : 0,0, %MEM : 0,5
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 0,8
NOM PROC : gvfs-gp+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfs-mt+, %CPU : 0,0, %MEM : 0,3
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 0,9
NOM PROC : goa-ide+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfs-af+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfs-go+, %CPU : 0,0, %MEM : 0,3
NOM PROC : at-spi2+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gjs, %CPU : 0,0, %MEM : 0,8
NOM PROC : sh, %CPU : 0,0, %MEM : 0,0
NOM PROC : gsd-a11+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-col+, %CPU : 0,0, %MEM : 0,9
NOM PROC : gsd-dat+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-hou+, %CPU : 0,0, %MEM : 0,3
NOM PROC : ibus-da+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-key+, %CPU : 0,0, %MEM : 0,8
NOM PROC : gsd-med+, %CPU : 0,0, %MEM : 0,9
NOM PROC : gsd-pow+, %CPU : 0,0, %MEM : 0,9
NOM PROC : gsd-pri+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-rfk+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-scr+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-sha+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-sma+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-sou+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 2,8
NOM PROC : gsd-usb+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-wac+, %CPU : 0,0, %MEM : 0,9
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 1,9
NOM PROC : gsd-dis+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gjs, %CPU : 0,0, %MEM : 0,9
NOM PROC : ibus-dc+, %CPU : 0,0, %MEM : 0,3
NOM PROC : ibus-ex+, %CPU : 0,0, %MEM : 1,0
NOM PROC : ibus-po+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-pri+, %CPU : 0,0, %MEM : 0,6
NOM PROC : xdg-des+, %CPU : 0,0, %MEM : 0,6
NOM PROC : xdg-doc+, %CPU : 0,0, %MEM : 0,3
NOM PROC : fusermo+, %CPU : 0,0, %MEM : 0,0
NOM PROC : xdg-des+, %CPU : 0,0, %MEM : 0,9
NOM PROC : ibus-en+, %CPU : 0,0, %MEM : 0,4
NOM PROC : tracker+, %CPU : 0,0, %MEM : 0,7
NOM PROC : xdg-des+, %CPU : 0,0, %MEM : 0,8
NOM PROC : gnome-c+, %CPU : 0,0, %MEM : 1,5
NOM PROC : gnome-t+, %CPU : 0,0, %MEM : 1,7
NOM PROC : gvfsd-t+, %CPU : 0,0, %MEM : 0,4
NOM PROC : dconf-s+, %CPU : 0,0, %MEM : 0,2
NOM PROC : bash, %CPU : 0,0, %MEM : 0,1
NOM PROC : su, %CPU : 0,0, %MEM : 0,1
NOM PROC : bash, %CPU : 0,0, %MEM : 0,1
NOM PROC : bash, %CPU : 0,0, %MEM : 0,2
NOM PROC : gvfsd-m+, %CPU : 0,0, %MEM : 0,3
NOM PROC : firefox+, %CPU : 0,0, %MEM : 18,2
NOM PROC : Xwayland, %CPU : 0,0, %MEM : 2,6
NOM PROC : gsd-xse+, %CPU : 0,0, %MEM : 2,7
NOM PROC : ibus-x11, %CPU : 0,0, %MEM : 0,8
NOM PROC : Socket, %CPU : 0,0, %MEM : 1,1
NOM PROC : Privile+, %CPU : 0,0, %MEM : 4,5
NOM PROC : WebExte+, %CPU : 0,0, %MEM : 3,2
NOM PROC : Isolate+, %CPU : 0,0, %MEM : 11,6
NOM PROC : Isolate+, %CPU : 0,0, %MEM : 6,1
NOM PROC : Web, %CPU : 0,0, %MEM : 2,4
NOM PROC : RDD, %CPU : 0,0, %MEM : 1,4
NOM PROC : Utility+, %CPU : 0,0, %MEM : 1,4
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : cupsd, %CPU : 0,0, %MEM : 0,3
NOM PROC : cups-br+, %CPU : 0,0, %MEM : 0,4
NOM PROC : Web, %CPU : 0,0, %MEM : 2,5
NOM PROC : rtkit-d+, %CPU : 0,0, %MEM : 0,1
NOM PROC : nautilus, %CPU : 0,0, %MEM : 9,7
NOM PROC : gvfsd-r+, %CPU : 0,0, %MEM : 0,3
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : bluetoo+, %CPU : 0,0, %MEM : 0,2
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : Web, %CPU : 0,0, %MEM : 2,4
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : cron, %CPU : 0,0, %MEM : 0,1
NOM PROC : sh, %CPU : 0,0, %MEM : 0,0
NOM PROC : bash, %CPU : 0,0, %MEM : 0,1
NOM PROC : top, %CPU : 0,0, %MEM : 0,2
NOM PROC : awk, %CPU : 0,0, %MEM : 0,1
